MicroMag 2900/3900 Data File (Series 0015)
First-order reversal curves
Configuration   :  VSM
Hardware version:  0004
Software version:  11/20/2006
Units of measure:  cgs
Temperature in  :  Kelvin
01/11/2007  15:01
"bg1.11 frag c.03 taped sample forc"

Averaging time = +1.000000E-01
Hb1            = -1.000000E+03
Hb2            = +1.000000E+03
Hc1            =  0.000000E+00
Hc2            = +3.000000E+03
HCal           = +4.610101E+03
HNcr           = +5.000005E+01
HSat           = +6.000000E+03
NCrv           = 113
PauseCal       = +1.000000E+00
PauseNtl       = +1.000000E+00
PauseSat       = +1.000000E+00
SlewRate       = +1.000000E+04
Smoothing      = 5

Field range    = +4.700000E+03
Moment range   = +1.000000E-02
Temperature    = +2.946578E+02
Orientation    = +9.000001E+01
Elapsed time   = +6.436355E+03
Slope corr.    = N/A
Saturation     = N/A
NData          = 10766

+1.611856E+03,+6.075657E-03,+2.947058E+02
+1.660719E+03,+6.162815E-03,+2.947049E+02
+1.711562E+03,+6.256082E-03,+2.947041E+02

+4.612853E+03,+9.420866E-03,+2.947208E+02

+8.599940E+02,+4.397238E-03,+2.947230E+02
+9.114941E+02,+4.527973E-03,+2.947251E+02
+9.601820E+02,+4.655085E-03,+2.947273E+02
+1.011298E+03,+4.786848E-03,+2.947294E+02
+1.060065E+03,+4.902006E-03,+2.947315E+02
+1.110925E+03,+5.025918E-03,+2.947336E+02
+1.159694E+03,+5.142774E-03,+2.947358E+02
+1.210694E+03,+5.263631E-03,+2.947379E+02
+1.261979E+03,+5.378474E-03,+2.947406E+02
+1.310525E+03,+5.483422E-03,+2.947430E+02
+1.361370E+03,+5.591289E-03,+2.947451E+02
+1.410257E+03,+5.690075E-03,+2.947472E+02
+1.461107E+03,+5.793480E-03,+2.947485E+02
+1.509926E+03,+5.887233E-03,+2.947496E+02
+1.561025E+03,+5.983147E-03,+2.947496E+02
+1.611859E+03,+6.076946E-03,+2.947495E+02
+1.660733E+03,+6.164540E-03,+2.947484E+02
+1.711580E+03,+6.253111E-03,+2.947474E+02
+1.760137E+03,+6.334544E-03,+2.947459E+02

+4.612863E+03,+9.420781E-03,+2.947295E+02

+8.087974E+02,+4.247051E-03,+2.947284E+02
+8.604336E+02,+4.381528E-03,+2.947277E+02
+9.115783E+02,+4.523328E-03,+2.947276E+02
