Start Time:  2/21/2019 8:12:18 AM         Time Completed:  2/21/2019 8:49:07 AM     Elapsed Time:  00:36:48
Sample ID:     BFO_425_Hysteresis_200219

Experiment:    C:\IDEASVSM\Default UserID\Experiments\Hys_BFO_Completa1h\Hys_BFO_Completa1h.exp
Data File:     c:\Ideasvsm\Default UserID\ERamos_\IR_DCD_Exp\Test_IRM_Floppy\BFO_425_Hysteresis_200219.txt
Plot File:     c:\Ideasvsm\Default UserID\ERamos_\IR_DCD_Exp\Test_IRM_Floppy\BFO_425_Hysteresis_200219.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\Hys_BFO_Completa1h\Hys_BFO_Completa1h.stp
VSM Data File: c:\Ideasvsm\Default UserID\ERamos_\IR_DCD_Exp\Test_IRM_Floppy\BFO_425_Hysteresis_200219.dat

***DATA***

Field(Oe)	 Moment(emu)	
-421.6779 	-0.0083150898 	
-364.54348 	-0.0076647049 	
-307.39643 	-0.0069092916 	
-250.25531 	-0.0060746928 	
-193.13201 	-0.0051238043 	
-135.97631 	-0.003994082 	
-92.721468 	-0.0029824385 	
-64.185209 	-0.0022187532 	
-35.613024 	-0.0013641548 	
-7.047302 	-0.00038619443 	
 21.524044 	 0.00065296868 	
 50.083629 	 0.0015620601 	
 78.657858 	 0.0023745883 	
 129.19854 	 0.0035494254 	
 209.08285 	 0.0051172553 	
 289.07939 	 0.0063792113 	
 369.07174 	 0.0074435746 	
 449.07431 	 0.008323881 	
 536.40222 	 0.0091608178 	
 636.27511 	 0.010011322 	
 736.2602 	 0.010749224 	
 836.2793 	 0.011439375 	
 936.27697 	 0.012001061 	
 1197.0979 	 0.01330446 	
 1637.0996 	 0.015060723 	
 2077.043 	 0.01636291 	
 2516.9925 	 0.017483105 	
 2956.9406 	 0.018385983 	
 3396.8994 	 0.019244156 	
 3836.826 	 0.019968565 	
 4276.7677 	 0.020670392 	
 4716.6887 	 0.021293362 	
 5156.5276 	 0.021901244 	
 5596.4454 	 0.022446589 	
 6036.3077 	 0.022974514 	
 6476.1947 	 0.023476195 	
 6916.0634 	 0.023957833 	
 7355.903 	 0.024414957 	
 7795.7878 	 0.024860788 	
 8235.5865 	 0.025292406 	
 8675.2795 	 0.025716242 	
 9114.9394 	 0.026140495 	
 9554.5177 	 0.026526704 	
 9993.9841 	 0.026909692 	
 10433.416 	 0.027269175 	
 10872.768 	 0.027640563 	
 11312.073 	 0.028003915 	
 11751.273 	 0.028409834 	

	
	
