Start Time:  2/19/2019 3:25:23 PM         Time Completed:  2/19/2019 8:50:59 PM     Elapsed Time:  05:25:35
Sample ID:     dcd_prunba_3

Experiment:    C:\IDEASVSM\Default UserID\Experiments\CDC_Floopy\CDC_Floopy.exp
Data File:     c:\Ideasvsm\Default UserID\ERamos_\IR_DCD_Exp\Test_IRM_Floppy\dcd_prunba_3.txt
Plot File:     c:\Ideasvsm\Default UserID\ERamos_\IR_DCD_Exp\Test_IRM_Floppy\dcd_prunba_3.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\CDC_Floopy\CDC_Floopy.stp
VSM Data File: c:\Ideasvsm\Default UserID\ERamos_\IR_DCD_Exp\Test_IRM_Floppy\dcd_prunba_3.dat

***DATA***

Field(Oe)	 Moment(emu)	
 1610.0549 	 0.00091359038 	
 1620.0483 	 0.00092063384 	
 1630.238 	 0.00091483578 	
 1639.7664 	 0.00091619226 	
 1649.8115 	 0.00092178162 	
 1660.1006 	 0.00092331791 	
 1669.9998 	 0.00092416267 	
 1680.0431 	 0.00092775476 	
 1690.1068 	 0.0009309858 	
 1700.0985 	 0.00093412227 	
 1710.0956 	 0.0009372231 	
 1720.0769 	 0.00092909278 	
 1729.7704 	 0.00093866468 	
 1739.9528 	 0.00093619844 	
 1750.1964 	 0.00093720862 	
 1760.1111 	 0.00094149252 	
 1769.9434 	 0.00093972895 	
 1780.1049 	 0.00094412653 	
 1790.0145 	 0.00094450002 	
 1799.9288 	 0.00094743701 	
 1809.9413 	 0.00094328235 	
 1819.8867 	 0.00094778972 	
 1830.1357 	 0.00094702844 	
 1840.0967 	 0.00094952229 	
 1849.9756 	 0.00094904421 	
 1860.2039 	 0.00096018111 	
 1870.0669 	 0.00095894665 	
 1879.9661 	 0.00095907583 	
 1890.0454 	 0.00095496563 	
 1899.9033 	 0.00096450883 	
 1910.0854 	 0.00095511744 	
 1920.031 	 0.00095003269 	
 1930.2749 	 0.00095915195 	
 1940.0198 	 0.00095584969 	
 1950.1501 	 0.00095648778 	
 1960.0854 	 0.00096052875 	
 1969.9641 	 0.00096104368 	
 1980.2026 	 0.00095741976 	
 1989.8396 	 0.00095819662 	
 2000.0511 	 0.00096226438 	
 2010.0117 	 0.00096482535 	
 2019.9777 	 0.00096294037 	
 2029.9541 	 0.00096392212 	
 2040.0435 	 0.00096358555 	
 2050.1174 	 0.00096446818 	
 2060.0933 	 0.00095744338 	
 2069.9304 	 0.0009695993 	
 2079.9685 	 0.00096370328 	
 2090.1404 	 0.00096793025 	
 2099.9673 	 0.00096803697 	
 2110.103 	 0.00096575972 	
 2120.1565 	 0.00096525817 	
 2130.0144 	 0.00096770411 	
 2139.9697 	 0.00097233871 	
 2149.8792 	 0.00096287592 	
 2160.2 	 0.00096940149 	
 2170.0371 	 0.00097101515 	
 2179.9312 	 0.00096124814 	
 2189.969 	 0.00096398026 	
 2200.0945 	 0.00097287888 	
 2209.9678 	 0.00097140269 	
 2220.0881 	 0.00097265758 	
 2229.8635 	 0.00097518311 	
 2239.8657 	 0.00096554437 	
 2250.0737 	 0.00097715679 	
 2260.0806 	 0.0009730282 	
 2270.0415 	 0.00097727561 	
 2279.8887 	 0.00097657139 	
 2289.7363 	 0.00097262065 	
 2299.9233 	 0.00096969168 	
 2310.2446 	 0.00096837477 	
 2320.0044 	 0.00097206051 	
 2330.022 	 0.0009751275 	
 2340.0806 	 0.00097671744 	
 2349.8047 	 0.00097265098 	
 2359.9761 	 0.00097640406 	
 2370.1172 	 0.00096996467 	
 2380.2065 	 0.00097303816 	
 2390.0747 	 0.00097466926 	
 2400.0713 	 0.00097409295 	
