
Units of measure	cgs

Averaging time		1.00000
Hb1       		-1.33333E3
Hb2       		1.00000E3
Hc2       		1.33333E3
HCal      		2.33333E3
HSat      		3.00000E3
NForc     		150       
PauseCal  		0.00000
PauseRvrsl		1.00000
PauseSat  		1.00000
SlewRate  		10.0000E3
Smoothing 		1         

Field	 Moment
(Oe)	 (emu)
1.00000,1.00000

998.957,2.44725E-3

1.00000,1.00000

975.196,2.38562E-3
980.171,2.40383E-3
996.015,2.39883E-3
1.01249E3,2.42314E-3

1.00000,1.00000

950.578,2.38205E-3
955.709,2.39136E-3
974.343,2.40434E-3
994.202,2.40862E-3
1.01386E3,2.41652E-3
1.03350E3,2.41449E-3

1.00000,1.00000

925.813,2.36215E-3
932.213,2.38819E-3
952.511,2.39605E-3
973.733,2.40008E-3
994.832,2.41978E-3
1.01591E3,2.42295E-3
1.03707E3,2.42036E-3
1.05822E3,2.42236E-3

1.00000,1.00000

900.665,2.37582E-3
907.885,2.36629E-3
929.066,2.37514E-3
950.884,2.37285E-3
972.853,2.38944E-3
994.695,2.39128E-3
1.01670E3,2.39283E-3
1.03854E3,2.42355E-3
1.06048E3,2.42585E-3
1.08230E3,2.42411E-3

1.00000,1.00000

876.051,2.34481E-3
884.383,2.34606E-3
906.176,2.37085E-3
928.534,2.38047E-3
951.002,2.38163E-3
973.403,2.39324E-3
995.827,2.39743E-3
1.01816E3,2.40879E-3
1.04058E3,2.40775E-3
1.06293E3,2.41370E-3
1.08535E3,2.43440E-3
1.10774E3,2.46643E-3

1.00000,1.00000

851.319,2.34356E-3
859.662,2.33691E-3
881.824,2.34183E-3
904.606,2.35382E-3
927.390,2.36590E-3
950.068,2.39030E-3
972.844,2.39338E-3
995.614,2.40290E-3
1.01826E3,2.40713E-3
1.04103E3,2.42420E-3
1.06385E3,2.44358E-3
1.08648E3,2.42732E-3
1.10919E3,2.44412E-3
1.13201E3,2.45947E-3

1.00000,1.00000

827.434,2.32640E-3
835.204,2.33891E-3
857.578,2.33857E-3
880.719,2.35178E-3
903.658,2.35974E-3
926.671,2.37798E-3
949.626,2.37349E-3
972.626,2.40288E-3
995.629,2.38755E-3
1.01872E3,2.40846E-3
1.04159E3,2.44013E-3
1.06458E3,2.41693E-3
1.08758E3,2.42186E-3
1.11056E3,2.43812E-3
1.13348E3,2.47472E-3
1.15659E3,2.45502E-3

1.00000,1.00000

802.836,2.33052E-3
811.627,2.31138E-3
834.372,2.31495E-3
857.755,2.34560E-3
880.871,2.34806E-3
904.130,2.37070E-3
927.222,2.36851E-3
950.457,2.37430E-3
973.571,2.40120E-3
996.845,2.40520E-3
1.01999E3,2.40132E-3
1.04320E3,2.39246E-3
1.06634E3,2.44462E-3
1.08953E3,2.43810E-3
1.11270E3,2.44474E-3
1.13590E3,2.44985E-3
1.15912E3,2.46734E-3
1.18212E3,2.46398E-3

1.00000,1.00000

778.285,2.31225E-3
786.111,2.32607E-3
808.801,2.31833E-3
832.256,2.34444E-3
855.552,2.34971E-3
878.971,2.34102E-3
902.370,2.36832E-3
925.606,2.37240E-3
949.068,2.36697E-3
972.310,2.37087E-3
995.594,2.39357E-3
1.01903E3,2.41397E-3
1.04225E3,2.40149E-3
1.06567E3,2.43119E-3
1.08897E3,2.43336E-3
1.11234E3,2.45881E-3
1.13560E3,2.44778E-3
1.15895E3,2.48462E-3
1.18226E3,2.47226E-3
1.20558E3,2.47970E-3

1.00000,1.00000

752.957,2.34490E-3
760.713,2.29897E-3
783.298,2.32502E-3
806.760,2.31781E-3
830.248,2.32359E-3
853.722,2.33428E-3
877.136,2.34476E-3
900.599,2.38017E-3
924.125,2.37062E-3
947.517,2.38499E-3
971.004,2.39520E-3
994.490,2.40262E-3
1.01793E3,2.40119E-3
1.04141E3,2.41438E-3
1.06475E3,2.44189E-3
1.08823E3,2.45118E-3
1.11173E3,2.44031E-3
1.13519E3,2.46191E-3
1.15857E3,2.46883E-3
1.18202E3,2.47174E-3
1.20552E3,2.47921E-3
1.22893E3,2.49376E-3

1.00000,1.00000

728.675,2.32063E-3
736.015,2.27512E-3
758.729,2.29735E-3
782.278,2.31686E-3
805.903,2.32768E-3
829.473,2.32611E-3
852.998,2.34896E-3
876.611,2.34737E-3
900.166,2.35598E-3
923.698,2.37217E-3
947.334,2.38113E-3
970.772,2.36759E-3
994.384,2.40753E-3
1.01792E3,2.40207E-3
1.04146E3,2.41070E-3
1.06500E3,2.41121E-3
1.08857E3,2.43738E-3
1.11217E3,2.44780E-3
1.13563E3,2.44780E-3
1.15923E3,2.45314E-3
1.18275E3,2.46952E-3
1.20632E3,2.47875E-3
1.22989E3,2.48711E-3
1.25336E3,2.50063E-3

1.00000,1.00000

704.088,2.27387E-3
713.331,2.28438E-3
736.540,2.28695E-3
760.236,2.29343E-3
783.903,2.31690E-3
807.549,2.32073E-3
831.214,2.32198E-3
854.857,2.33316E-3
878.575,2.35863E-3
902.186,2.37631E-3
925.765,2.36407E-3
949.417,2.37735E-3
973.041,2.39991E-3
996.613,2.38731E-3
1.02030E3,2.39489E-3
1.04399E3,2.39364E-3
1.06755E3,2.41845E-3
1.09125E3,2.43206E-3
1.11486E3,2.46316E-3
1.13843E3,2.46814E-3
1.16214E3,2.46050E-3
1.18582E3,2.46787E-3
1.20936E3,2.47459E-3
1.23302E3,2.48525E-3
1.25664E3,2.49032E-3
1.28026E3,2.49926E-3

1.00000,1.00000

679.544,2.27439E-3
687.758,2.24670E-3
711.056,2.26673E-3
734.637,2.28832E-3
